area,rot-categorization,rot-moral-foundations,rot-judgment,action-moral-judgment,action-legal,label,action_ukr,action_en
amitheasshole,morality-ethics,care-harm,is nice,1.0,legal,2,піклуватися про чиєсь здоров'я,looking out for somebody's health
rocstories,advice,care-harm,It's good,1.0,legal,2,"дбати про здоров'я та добробут тих, кого ти любиш.",looking out for the health and wellbeing of those you love.
rocstories,morality-ethics,care-harm,It's good,1.0,legal,2,дбаючи про благополуччя друга,looking out for the well-being of a friend.
amitheasshole,advice,care-harm|loyalty-betrayal,is good,1.0,legal,2,дбати про друзів;,looking out for your friends.
amitheasshole,morality-ethics|advice,care-harm,It's okay,0.0,legal,1,дбати про себе,looking out for yourself.
amitheasshole,social-norms,care-harm,It is expected,0.0,legal,1,"виглядати пристойно, якщо ви є частиною весільної церемонії.",looking presentable if you are part of a wedding.
rocstories,advice,care-harm,It is good,0.0,legal,1,"дивитися під ноги, коли виносиш сміття.",looking where you walk when taking out the trash.
amitheasshole,morality-ethics,care-harm,it's bad,-1.0,tolerated,0,"загубити собаку, за яким ти доглядаєш.",losing a dog you are dogsitting.
rocstories,description,care-harm,it is sad,0.0,,1,втрата домашнього улюбленця,losing a pet
rocstories,morality-ethics,care-harm,It's not okay,-1.0,legal,0,"втрата домашнього улюбленця, про якого ти мав би піклуватись.",losing a pet you are suppose to care about.
rocstories,description,care-harm,It's sad,-1.0,legal,0,втрачаючи друзів.,losing friends.
rocstories,description,care-harm,normal,0.0,legal,1,Час від часу втрачати відчуття навколишньої обстановки,losing track of your surroundings every now and then
rocstories,advice,care-harm,It's good,1.0,legal,2,"схуднення, коли це потрібно.",losing weight when you need to.
rocstories,morality-ethics,care-harm,shouldn't,-1.0,legal,0,втрата дітей.,losing your kids.
rocstories,description,care-harm,It's unexpected,-1.0,legal,0,втрачати зуби.,losing your teeth.
confessions,morality-ethics|social-norms,care-harm|sanctity-degradation,You shouldn't,-1.0,illegal,0,"втрата цноти на підпільній вечірці, де неповнолітні вживають алкоголь.",losing your virginity at an underage drinking party.
confessions,description,care-harm,It's good,2.0,legal,2,Люблю допомагати людям,loving helping people
confessions,morality-ethics|social-norms,care-harm,it's okay,0.0,legal,1,люблячі люди,loving people.
confessions,description,care-harm,It's fine,0.0,legal,1,любити когось.,loving someone.
confessions,morality-ethics,care-harm,it's good,1.0,legal,2,кохати свого хлопця.,loving your boyfriend.
confessions,social-norms,care-harm,expected,0.0,legal,1,любити свою родину,loving your family
dearabby,morality-ethics,care-harm,It's good,1.0,legal,2,любити своїх онуків.,loving your grandkids.
confessions,,care-harm|loyalty-betrayal,it's expected,1.0,legal,2,любити своїх батьків.,loving your parents.
rocstories,social-norms|description,care-harm|loyalty-betrayal,it's normal,2.0,legal,2,любити своїх домашніх тварин.,loving your pets.
confessions,morality-ethics,care-harm|fairness-cheating,It's wrong,-2.0,legal,0,брехня про ваші умови проживання.,lying about your living arrangements.
confessions,morality-ethics,care-harm|fairness-cheating,It's not okay,-2.0,tolerated,0,брехати коханій людині.,lying to a loved one.
amitheasshole,morality-ethics,care-harm,isn't good,-1.0,legal,0,брехня партнеру.,lying to a partner.
confessions,morality-ethics,care-harm,It's not good,-1.0,legal,0,брехня друзям,lying to friends.
confessions,morality-ethics|social-norms,care-harm|loyalty-betrayal,It is rude,-1.0,legal,0,брехати комусь про свої почуття до них.,lying to someone about your feelings for them.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,it's wrong,-1.0,legal,0,брехати своїм друзям.,lying to your friends.
amitheasshole,morality-ethics|social-norms,care-harm|fairness-cheating,shouldn't,-1.0,legal,0,брехати своєму партнеру про вагітність.,lying to your partner about being pregnant.
confessions,morality-ethics,care-harm,it's rude,-1.0,legal,0,брехати своєму подружжю.,lying to your spouse.
confessions,social-norms,care-harm|loyalty-betrayal,It's good,1.0,legal,2,підтримувати тісні стосунки з батьками;,maintaining a close relationship with your parents
rocstories,advice,care-harm,it's good,1.0,legal,2,підтримання здорової ваги тіла.,maintaining a healthy body weight.
confessions,social-norms|advice,care-harm,should,0.0,legal,1,збереження роботи,maintaining a job.
rocstories,social-norms,care-harm|loyalty-betrayal,it's good,1.0,legal,2,підтримування стосунків з іншою людиною.,maintaining a relationship with another person.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's important,0.0,legal,1,підтримування шлюбів.,maintaining marriages.
amitheasshole,social-norms|advice,care-harm|loyalty-betrayal,you should,1.0,legal,2,"підтримка дружніх стосунків із тими, кого ти вважаєш найкращим другом.",maintaining your friendships with the ones you consider to be a best friend.
confessions,advice,care-harm,It is good,0.0,legal,1,підтримання особистої гігієни,maintaining your personal hygiene
amitheasshole,morality-ethics|advice,care-harm,You shouldn't,-1.0,legal,0,робити з мухи слона.,making a big deal out of small things.
confessions,advice,care-harm,good,0.0,legal,1,"змінити своє життя, якщо ви відчуваєте депресію.",making a change in your life if you are feeling depressed.
amitheasshole,description,care-harm,rude,-1.0,legal,0,"Створювати персонажа на основі когось, якщо це їх образить.",making a character based on someone if it will offend them.
rocstories,morality-ethics|social-norms,care-harm|sanctity-degradation,shouldn't,-1.0,legal,0,робити з себе дурня.,making a fool of yourself.
confessions,social-norms,care-harm,shouldn't,-1.0,legal,0,смітити в машині.,making a mess in the car.
confessions,description,care-harm,It is okay,0.0,legal,1,робити помилку,making a mistake.
dearabby,social-norms,care-harm,It's kind,1.0,legal,2,змусити нового однокласника почуватися бажаним.,making a new classmate feel welcome.
rocstories,advice,care-harm,You should,1.0,legal,2,створення безпечного простору для відпочинку у вашому домі.,making a safe space to relax in your home.
rocstories,morality-ethics,care-harm,it's wrong,-2.0,legal,0,перетворення тварини на раба.,making an animal into a slave.
confessions,morality-ethics,care-harm,it is bad,-1.0,illegal,0,змушувати тварин страждати,making animals suffer
amitheasshole,morality-ethics|social-norms,care-harm,its not okay,-1.0,legal,0,забруднення чужого дому.,making another persons home dirty.
rocstories,advice,care-harm,It's good,1.0,legal,2,готувати сніданок собі та іншим.,making breakfast for yourself and others.
dearabby,morality-ethics|social-norms,care-harm|loyalty-betrayal,It is pushy,-1.0,tolerated,0,змушування колег розкривати особисті деталі;,making co-workers divulge personal details
rocstories,morality-ethics|advice,care-harm|loyalty-betrayal,It's wrong,-1.0,legal,0,змушувати членів родини погано про себе думати.,making family members feel bad about themselves.
amitheasshole,morality-ethics|social-norms,care-harm,It is good,1.0,legal,2,готувати їжу для когось.,making food for someone.
rocstories,social-norms,care-harm,it's good,1.0,legal,2,готувати їжу для своєї родини.,making food for your family.
confessions,morality-ethics|social-norms,care-harm,It is rude,-1.0,legal,0,висміювання людей,making fun of people
amitheasshole,morality-ethics,care-harm|sanctity-degradation,rude,-1.0,legal,0,кепкування з людини з інвалідністю.,making fun of someone with a disability.
confessions,morality-ethics|social-norms,care-harm,It's wrong,-2.0,legal,0,висміювання чийогось захоплення,making fun of someone's passion
amitheasshole,morality-ethics,care-harm,it's rude,-1.0,legal,0,висміювання чиєїсь ваги,making fun of someone's weight.
rocstories,morality-ethics,care-harm,It's hurtful,-1.0,legal,0,висміювання когось,making fun of someone.
amitheasshole,morality-ethics,care-harm,it's bad,-1.0,legal,0,глузування з дитини через її труднощі у навчанні.,making fun of your child for their learning difficulties.
confessions,morality-ethics,care-harm,wrong,-1.0,legal,0,глузування з дітей,making fun of your children
amitheasshole,morality-ethics,care-harm,It's mean,-1.0,legal,0,глузування з їжі твого друга.,making fun of your friend's food.
amitheasshole,morality-ethics|description,care-harm,It's hurtful,-2.0,legal,0,насміхатися з друга,making fun of your friend.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,You shouldn't,-1.0,legal,0,висміювання свого партнера,making fun of your partner.
amitheasshole,social-norms,care-harm,should,1.0,legal,2,створення атмосфери гостинності для відвідувачів.,making guests feel welcomed.
dearabby,advice,care-harm,It's rude,-1.0,legal,0,робити судження щодо вибору романтичного партнера вашої дитини.,making judgments about your child's choice of romantic partner.
amitheasshole,morality-ethics,care-harm,shouldn't,-1.0,legal,0,"легковажне ставлення до проблеми, з якою стикається багато людей.",making light of a problem that many people have.
confessions,advice,care-harm,wrong,-1.0,legal,0,"готування більше їжі, ніж вам потрібно.",making more food than you need.
amitheasshole,morality-ethics,care-harm,Its rude,-2.0,legal,0,висловлювання негативних коментарів щодо когось.,making negative comments toward someone.
confessions,description,care-harm,it's expected,0.0,legal,1,заводити нових друзів;,making new friends
amitheasshole,morality-ethics|social-norms,care-harm,You shouldn't,-2.0,legal,0,робити образливі жарти щодо людей.,making offensive jokes to people.
rocstories,description,care-harm,It's good,1.0,legal,2,робити інших щасливими.,making others happy.
confessions,morality-ethics,care-harm,It's wrong,-1.0,legal,0,змушуючи людей почуватися невпевнено.,making people feel insecure.
rocstories,advice,care-harm,It is caring,1.0,legal,2,створювати у людей почуття винятковості.,making people feel special.
confessions,morality-ethics|description,care-harm,it's unacceptable,-1.0,legal,0,"змушувати людей думати, що ти облив їх кров'ю, незалежно від того, фальшива вона чи ні.","making people think you have thrown blood on them, regardless of whether it is fake or not."
rocstories,morality-ethics|social-norms,care-harm,Is rude,-2.0,legal,0,змушувати людей витрачати свій час;,making people waste their time
rocstories,advice,care-harm,it's okay,0.0,legal,1,"створення нагадувань, щоб не забути прийняти ліки.",making reminders so you don't forget to take a pill.
amitheasshole,morality-ethics|social-norms,care-harm|authority-subversion,You shouldn't,-2.0,legal,0,робити грубі коментарі про своїх колег.,making rude comments about your coworkers.
amitheasshole,morality-ethics|social-norms,care-harm|sanctity-degradation,It's not okay,-2.0,legal,0,робити непристойні жести на людях.,making rude gestures in public.
rocstories,morality-ethics,care-harm,You're expected,0.0,legal,1,жертвувати заради своєї дитини.,making sacrifices for your baby.
confessions,advice,care-harm,should,0.0,legal,1,"внесення деяких змін у своє життя, коли ти ненавидиш усе в собі",making some changes in your life when you hate everything about yourself
rocstories,advice,care-harm,it's wrong,-1.0,tolerated,0,"змушувати когось вірити у щось, що не є правдою.",making someone believe something that's not true.
amitheasshole,morality-ethics|social-norms,care-harm,It is rude,-1.0,legal,0,"змушувати когось почуватися дурним через те, чого вони не знають.",making someone feel dumb about what they don't know.
amitheasshole,morality-ethics|social-norms,care-harm,It's bad,-1.0,legal,0,змушувати когось почуватися незручно.,making someone feel uncomfortable.
rocstories,morality-ethics,care-harm,It's not okay,-1.0,legal,0,змушувати когось почуватися нікчемним.,making someone feel worthless.
rocstories,morality-ethics|social-norms,care-harm|fairness-cheating,It's not okay,-1.0,legal,0,змушувати когось чекати на себе,making someone have to wait for you
amitheasshole,social-norms,care-harm,it's wrong,-1.0,legal,0,змушувати когось піти з власної вечірки.,making someone leave their own party.
amitheasshole,social-norms,care-harm,It's wrong,-1.0,legal,0,створення дискомфорту для когось,making someone uncomfortable
confessions,morality-ethics,care-harm,It's rude,-2.0,illegal,0,перетворюючи щось на смертельну сутичку.,making something battle to the death.
dearabby,social-norms,care-harm,It's ok,0.0,legal,1,зробити щось саморобне/домашнього приготування в подарунок.,making something homemade as a gift.
amitheasshole,social-norms,care-harm,it's encouraged,0.0,legal,1,"переконання, що діти перебувають під належним наглядом.",making sure children have adequate supervision.
rocstories,social-norms|advice,care-harm,its expected,0.0,legal,1,"переконування, що їжа, яку ви подаєте іншим, безпечна для споживання.",making sure food you serve to others is safe to eat.
rocstories,morality-ethics|social-norms,care-harm,it's smart,0.0,legal,1,"переконуючись, що вольєри для домашніх тварин є відповідними.",making sure pet enclosures are adequate.
rocstories,advice,care-harm,It is good,1.0,legal,2,"переконатися, що з кимось все гаразд, якщо вони налякані.",making sure someone is ok if they are scared.
amitheasshole,morality-ethics,care-harm,Expected,0.0,legal,1,"переконання, що людина в безпеці, якщо вона каже, що має суїцидальні думки.",making sure someone is ok if they say they are suicidal.
rocstories,morality-ethics,care-harm,It's considerate,1.0,legal,2,"переконання, що хтось у безпеці.",making sure someone is safe.
amitheasshole,morality-ethics|social-norms,care-harm,it's good,1.0,tolerated,2,забезпечення підтримання порядку в громадських місцях.,making sure that order is maintained in public.
rocstories,morality-ethics,care-harm,it's important,1.0,legal,2,"переконання, що про домашнього улюбленця добре дбатимуть перед тим, як дарувати його",making sure the pet will be well taken care of before giving a pet as a gift
rocstories,social-norms,care-harm,parents are expected,1.0,legal,2,дбаючи про здорове харчування своїх дітей.,making sure their kids eat healthy.
rocstories,advice|description,care-harm,it's good,1.0,legal,2,"Переконайтесь, що ви достатньо відповідальні, щоб доглядати за домашньою твариною, перш ніж заводити її.",making sure you are responsible enough to take care of a pet before you get one.
rocstories,advice,care-harm,You should,0.0,legal,1,"Переконайтесь, що ви берете з собою жердини для намету, щоб встановити намет у таборі.",making sure you bring tent poles so you can set up a tent at camp.
dearabby,morality-ethics|advice,care-harm,it is good,0.0,legal,1,"переконання у здатності забезпечити дитину перед тим, як її заводити",making sure you can support a child before having one
confessions,morality-ethics,care-harm,should,2.0,legal,2,"переконатися, що ви є хорошим батьком або матір'ю для своєї дитини.",making sure you're a good parent to your child.
confessions,morality-ethics,care-harm,it's good,1.0,legal,2,"контролювати, щоб ваша дитина не займалася тим, чим не слід займатися в підлітковому віці.",making sure your kid is not doing things they shouldn't do as a teenager.
amitheasshole,advice,care-harm,should,0.0,legal,1,"переконатися, що ваші діти не займаються небезпечними речами у свій вільний час.",making sure your kids aren't doing dangerous things in their spare time.
amitheasshole,social-norms,care-harm|authority-subversion,expected,0.0,legal,1,"переконуючись, що ваші діти добре поводяться.",making sure your kids behave.
rocstories,advice,care-harm,should,0.0,legal,1,забезпечення найкращої освіти для ваших дітей,making sure your kids have the best education
rocstories,morality-ethics,care-harm,You should,0.0,legal,1,"переконатися, що ваш партнер у безпеці.",making sure your partner is safe.
dearabby,social-norms,care-harm,It's not okay,-1.0,legal,0,"створення дискомфорту для людей, з якими ти працюєш.",making the people you work with uncomfortable.
amitheasshole,social-norms,care-harm,Partners are expected to,0.0,legal,1,знаходити час одне для одного.,making time for each other.
dearabby,morality-ethics,care-harm,It’s encouraged,0.0,legal,1,знаходити час для дітей поза роботою і школою,making time for your kids outside of work and school
confessions,advice,care-harm,You should,1.0,legal,2,знаходити час для себе,making time for yourself.
confessions,morality-ethics|advice,care-harm,It's wrong,-1.0,legal,0,"створювати надто багато шуму, якщо це дратує інших.",making too much noise if it annoys others.
amitheasshole,social-norms,care-harm,It is bad,-2.0,tolerated,0,здійснення небажаних залицянь до інших,making unwanted advances on others
amitheasshole,morality-ethics,care-harm,it's good,1.0,legal,2,мирися зі своїми друзями.,making up with your friends.
rocstories,advice,care-harm|authority-subversion,bad,-1.0,tolerated,0,лякати своїх дітей,making your children feel scared of you.
amitheasshole,morality-ethics|advice,care-harm|authority-subversion,you shouldn't,-1.0,legal,0,змушувати ваших дітей почуватися дурними.,making your children feel stupid.
rocstories,social-norms|advice,care-harm,it's good,1.0,legal,2,"робити так, щоб твоє волосся гарно виглядало для інших людей.",making your hair look nice for people.
confessions,advice,care-harm,It's good,1.0,legal,2,робити ваше життя легшим.,making your life easier.
rocstories,advice,care-harm|fairness-cheating,should,0.0,legal,1,здійснюючи свої власні мрії.,making your own dreams come true.
confessions,social-norms|advice,care-harm,expected,0.0,legal,1,"прокладати свій власний шлях замість того, щоб чекати, поки хтось прийде і врятує тебе.",making your own way instead of waiting for someone to come and save you.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,It is wrong,-1.0,legal,0,викликає у партнера невпевненість щодо стосунків.,making your partner feel insecure about a relationship.
dearabby,morality-ethics,care-harm|loyalty-betrayal,it is wrong,-1.0,legal,0,змушувати вашого партнера почуватися невпевненим у ваших стосунках;,making your partner feel insecure with your relationship
amitheasshole,morality-ethics,care-harm,You shouldn't,-1.0,legal,0,створення у вашого партнера відчуття тупості.,making your partner feel stupid.
amitheasshole,social-norms,care-harm|loyalty-betrayal,it is wrong,-1.0,legal,0,змушувати свою другу половинку почуватися погано,making your significant other feel bad
amitheasshole,morality-ethics,care-harm,it's bad,-1.0,legal,0,змушувати вашу другу половинку почуватися некомфортно.,making your significant other feel uncomfortable.
confessions,morality-ethics,care-harm,you should not,-2.0,tolerated,0,"робити собі краще, завдаючи болю іншим людям;",making yourself feel better by hurting other people
confessions,advice,care-harm,shouldn't,-1.0,legal,0,навмисне засмучувати себе.,making yourself sad on purpose.
rocstories,morality-ethics,care-harm|loyalty-betrayal,it's bad,-1.0,legal,0,"маніпулювання другом, щоб він покинув стосунки через вашу дрібну ревність.",manipulating a friend to abandon a relationship because of your petty jealousy.
amitheasshole,morality-ethics,care-harm,it's wrong,-2.0,legal,0,маніпулювання другом.,manipulating a friend.
rocstories,advice,care-harm,It's allowed,0.0,legal,1,"маркування вашого майна на випадок, якщо воно загубиться",marking your property in the event it gets separated from you
dearabby,advice,care-harm,it's good,1.0,legal,2,"одруження з тим, кого ти любиш.",marrying one that you love.
confessions,advice,care-harm|loyalty-betrayal,it is not good,-1.0,legal,0,"одруження з людиною, якій ти не довіряєш",marrying someone you don't trust
amitheasshole,description,care-harm,it's fine,0.0,legal,1,"одружитися з кимось, кого ти кохаєш.",marrying someone you love.
rocstories,social-norms|advice,care-harm|loyalty-betrayal,it's good,1.0,legal,2,зустріч з твоєю дівчиною,meeting up with your girlfriend.
rocstories,social-norms,care-harm|sanctity-degradation,it is wrong,-1.0,tolerated,0,наробити шкоди і втекти від відповідальності,messing up something and running from it
amitheasshole,morality-ethics,care-harm,bad,-1.0,legal,0,втручання у чужу їжу.,messing with someone else's food.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,wrong,-1.0,legal,0,навмисне введення інших в оману,misleading others intentionally
dearabby,description,care-harm|loyalty-betrayal,It is reasonable,0.0,legal,1,"сумувати за людьми з твого минулого, які колись робили тебе дуже щасливим.",missing people from your past who at one time made you very happy.
amitheasshole,morality-ethics,care-harm|authority-subversion,It is wrong,-1.0,illegal,0,жорстоке поводження з тваринами.,mistreating animals.
confessions,morality-ethics|social-norms,care-harm,It's wrong,-2.0,tolerated,0,"жорстоке поводження з вашими дітьми до такого рівня, що хтось викликає поліцію",mistreating your kids to the point that someone calls the police
confessions,morality-ethics,care-harm,people shouldn't,-1.0,tolerated,0,Використання соціальних мереж у зловмисних цілях.,misuing social networks for nefarious purposes.
amitheasshole,morality-ethics|social-norms,care-harm,It's rude,-1.0,legal,0,висміювання інших.,mocking others.
confessions,morality-ethics,care-harm|loyalty-betrayal,always wrong,-2.0,illegal,0,домагання до дитини,molesting a child
confessions,morality-ethics,care-harm,You shouldn't,-2.0,illegal,0,розбещення дітей,molesting kids.
confessions,morality-ethics,care-harm|authority-subversion|sanctity-degradation,it's wrong,-2.0,illegal,0,домагатися людей.,molesting people.
confessions,morality-ethics,care-harm|sanctity-degradation,It's bad,-2.0,illegal,0,домагання когось,molesting someone
confessions,morality-ethics|social-norms,care-harm|sanctity-degradation,shouldn't,-2.0,illegal,0,домагання до твоїх двоюрідних братів/сестер,molesting your cousins
confessions,morality-ethics,care-harm,shouldn't,-2.0,illegal,0,домагання (сексуальні) твоїх онуків.,molesting your grandchildren.
dearabby,advice,care-harm,should,0.0,legal,1,"переїзд, якщо вам не подобається місце проживання",moving if you do not like where you're living
dearabby,advice,care-harm,It's good,1.0,legal,2,рухатися далі після розірвання стосунків з кимось.,moving on after you've broken up with someone.
dearabby,advice,care-harm,should,0.0,legal,1,рухатись далі після завершення шлюбу.,moving on after your marriage ends.
confessions,advice,care-harm,It is good,0.0,legal,1,"відмовитись від мрії та залишити її позаду, якщо вона була поганою.",moving on from a dream and put it behind you if it was bad.
confessions,advice,care-harm|loyalty-betrayal,it's good,1.0,legal,2,відпустити колишнього партнера після розриву стосунків.,moving on from an ex after a break up.
confessions,advice,care-harm,People should,1.0,legal,2,як пережити розрив стосунків.,moving on from breakups.
confessions,morality-ethics|social-norms,care-harm,It's important,0.0,legal,1,рухатися далі після трьох років стосунків з кимось.,moving on from someone after 3 years.
amitheasshole,description,care-harm|fairness-cheating,It is good,0.0,legal,1,"пересісти за інший стіл, якщо хтось вас дратує.",moving to another table if someone is annoying you.
amitheasshole,morality-ethics,care-harm,it's hurtful,-2.0,legal,0,"відсідати, коли поруч сідає хтось, хто здається тобі огидним.",moving when someone sits next to you who you find disgusting.
confessions,morality-ethics,care-harm,It's wrong,-2.0,illegal,0,вбивство інших.,murdering others.
confessions,morality-ethics,care-harm,it's wrong,-2.0,illegal,0,вбивство людей.,murdering people.
dearabby,description,care-harm,It is normal,0.0,legal,1,потребую допомоги як майбутня мама,needing help as an expectant mother
amitheasshole,description,care-harm,it's okay,0.0,legal,1,потреба в особистому просторі.,needing personal space.
confessions,description,care-harm,shouldn't,-1.0,legal,0,"Потрібно, щоб хтось казав тобі, що ти гарна.",needing someone to tell you you're beautiful.
confessions,description,care-harm,It's okay,0.0,legal,1,потреба в особистому просторі під час романтичних стосунків.,needing space during a romantic relationship.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,It is okay,0.0,legal,1,потреба в часі у стосунках.,needing time in a relationship.
amitheasshole,social-norms,care-harm,understandable,0.0,legal,1,потребуючи часу зі своїми друзями.,needing time with their friends.
rocstories,description,care-harm,It's normal,0.0,legal,1,необхідність вигулювати свого домашнього улюбленця.,needing to take your pet out for a walk.
amitheasshole,morality-ethics,care-harm,It's bad,-1.0,illegal,0,нехтування потребами домашньої тварини.,neglecting a pet's needs.
dearabby,morality-ethics|social-norms,care-harm|authority-subversion,it's bad,-1.0,tolerated,0,нехтування своєю дитиною.,neglecting your child.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,isn't ok,-1.0,legal,0,нехтування своєю другою половинкою заради егоїстичних інтересів,neglecting your significant other for selfish pursuits
dearabby,social-norms,care-harm|sanctity-degradation,It's expected,0.0,legal,1,приємна мова у дитячих садках.,nice language being  at day cares.
amitheasshole,morality-ethics|description,care-harm|loyalty-betrayal,they can be hurt,-1.0,legal,0,"не надання значущій другій половинці такого ж статусу, як іншим людям у вашому житті.",not affording significant other the same status as other people in your life.
amitheasshole,social-norms|description,care-harm|fairness-cheating,It's expected,0.0,legal,1,Не всі люди будуть ладити між собою.,not all people will get along.
amitheasshole,morality-ethics|description,care-harm,It's OK,0.0,legal,1,не завжди жертвує на благодійні цілі.,not always donating to charitable causes.
amitheasshole,morality-ethics,care-harm|fairness-cheating,It's wrong,-2.0,legal,0,"не вибачатися перед кимось, коли вони на це заслуговують.",not apologizing to someone when they deserve it.
rocstories,morality-ethics,care-harm|loyalty-betrayal,it's not okay,-1.0,legal,0,"не цінувати інших, які піклуються про тебе;",not appreciating others who care about you
rocstories,morality-ethics,care-harm|fairness-cheating,It's not okay,-1.0,legal,0,"не цінуючи дні, які не є особливими.",not appreciating the days that aren't as special.
confessions,morality-ethics,care-harm|fairness-cheating,It's wrong,-1.0,legal,0,"нецінування життя, яке ти маєш.",not appreciating the life you have.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,it's ok,0.0,legal,1,"не відвідувати захід, якщо ви почуваєтеся надто погано для цього.",not attending an event if you feel too unhealthy to do so.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,It is rude,-1.0,legal,0,не відвідувати день народження твого батька.,not attending your fathers birthday party.
rocstories,social-norms|description,care-harm,It is expected,0.0,legal,1,не бути ідеальним батьком,not being a perfect parent
dearabby,description,care-harm,It's frustrating,0.0,legal,1,Неможливість спілкуватися зі своїм партнером,not being able to communicate with your partner
confessions,social-norms,care-harm,It's not okay,-1.0,legal,0,неможливість насолоджуватися життям і розслаблятися.,not being able to enjoy your life and relax.
amitheasshole,morality-ethics|advice,care-harm,You have a right,0.0,legal,1,"не перебувати поруч із людьми, які вам неприємні.",not being around people that you find objectionable.
amitheasshole,morality-ethics,care-harm,it's okay,0.0,legal,1,не бути близьким з колегами.,not being close to co workers.
amitheasshole,social-norms,care-harm,It's expected,0.0,legal,1,не бути конфронтаційним із клієнтами.,not being confrontational with customers.
rocstories,social-norms|advice,care-harm,okay,0.0,legal,1,не бути класним,not being cool
amitheasshole,description,care-harm,it's okay,0.0,legal,1,незадоволеність своїм сексуальним життям.,not being happy with your sex life.
confessions,morality-ethics,care-harm|loyalty-betrayal,It's bad,-1.0,legal,0,бути нечесним з друзями.,not being honest with friends.
amitheasshole,social-norms,care-harm,it's ok,0.0,legal,1,"не цікавитись усім тим, що цікавить вашу другу половинку.",not being interested in everything that your significant other is.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,it's wrong,-2.0,legal,0,неповажне ставлення до свого партнера,not being respectful of your partner
amitheasshole,morality-ethics|social-norms,care-harm|fairness-cheating,It's not okay,-2.0,legal,0,не нести відповідальності за дії своїх домашніх тварин.,not being responsible for the actions of your pets.
amitheasshole,morality-ethics,care-harm,It's wrong,-1.0,legal,0,не підтримувати членів родини.,not being supportive of family members.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,wrong,-1.0,legal,0,не підтримувати родину.,not being supportive of family.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,it's bad,-1.0,legal,0,відсутність підтримки своєї родини,not being there to support your family
amitheasshole,social-norms,care-harm,It is good,1.0,legal,2,"Не злитись на свого хлопця, якщо він скасовує побачення, коли ти хворієш.",not being upset with your boyfriend if he cancels a date when you are sick.
amitheasshole,morality-ethics,care-harm,it's bad,-2.0,legal,0,не дбаючи про безпеку друга.,not caring about a friends safety.
confessions,advice,care-harm,It's irresponsible,-1.0,legal,0,не турбуючись про своє здоров'я.,not caring about your health.
amitheasshole,advice,care-harm,fine,0.0,legal,1,"Не змінювати свій розклад заради когось, якщо це незручно.",not changing your schedule for someone if it's inconvenient.
confessions,morality-ethics,care-harm|loyalty-betrayal,It's wrong,-1.0,legal,0,Не вважати допомогу в шахрайстві іншої людини чимось неправильним.,not considering helping someone else cheat wrong.
confessions,description,care-harm,You're expected,0.0,legal,1,не плакати весь час.,not crying all the time.
amitheasshole,morality-ethics,care-harm,okay,1.0,legal,2,"не робити речі, які, як ми знаємо, можуть завдати болю тим, про кого ми дбаємо.",not doing things we know can hurt someone we care about.
rocstories,advice,care-harm,It's smart,1.0,legal,2,не їздити небезпечними районами з інтенсивною стріляниною,not driving thru bad neighborhoods with a lot of gunfire
confessions,advice,care-harm,It's bad,-1.0,legal,0,нездорове харчування.,not eating healthy.
confessions,advice,care-harm,it is good,1.0,legal,2,"не заохочення небезпечної поведінки, коли хтось перебуває під впливом психоделіків.",not encouraging dangerous behaviors when someone is on psychadelics.
rocstories,social-norms,care-harm|sanctity-degradation,It's polite,1.0,legal,2,не наражаючи інших на захворювання.,not exposing others to illness.
confessions,advice,care-harm,understandable,0.0,legal,1,відчуття своєї непотрібності.,not feeling like you have value.
amitheasshole,advice,care-harm,it is okay,0.0,,1,"Не відчувати потребу дивитись стримінгову програму разом, щоб обговорити її.",not feelling like you need to watch a streamed program together to talk about it.
rocstories,morality-ethics|advice,care-harm|authority-subversion,It's wrong,-1.0,legal,0,не дотримання рекомендацій лікаря.,not following doctor's recommendations.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,It is rude,-1.0,legal,0,невиконання своїх обов'язків у чийсь особливий день.,not following through on your duties for someone's special day.
amitheasshole,social-norms,care-harm|authority-subversion,it's good,1.0,legal,2,"не нав'язувати дітям певні види спорту, якщо вони їм не подобаються.",not forcing certain sports on your kids if they do not like them.
amitheasshole,social-norms,care-harm,okay,0.0,legal,1,"не ладнати з кожним, кого зустрічаєш.",not geting along with everyone you meet.
rocstories,social-norms,care-harm|authority-subversion,it's not okay,-1.0,legal,0,не отримувати достатнього відпочинку.,not getting your rest.
amitheasshole,advice,care-harm,It's wrong,-1.0,legal,0,"не давати собі відпочинку, коли він вам необхідний.",not giving yourself a rest when you need it.
