area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr,action_ukr_spivavtor,action_ukr_s_gec
amitheasshole,4.0,advice,care-harm,it's ok,having a long distance relationship.,0.0,legal,1,мати стосунки на відстані.,мати стосунки на відстані.,мати стосунки на відстані.
confessions,4.0,social-norms,care-harm,it's good,having a new job lined up before quitting a current job.,1.0,legal,2,"підшукати нову роботу перед тим, як звільнитися з поточної.","Підшукати нову роботу перед тим, як звільнитися з поточної.","Підшукати нову роботу перед тим, як звільнитися з поточної."
dearabby,4.0,advice,care-harm|loyalty-betrayal,It's good,having a partner that cares about you and helps you out.,0.0,legal,1,"мати партнера, який піклується про тебе і допомагає тобі.","Мати партнера, який піклується про тебе і допомагає тобі.","Мати партнера, який піклується про тебе і допомагає тобі."
amitheasshole,4.0,description,care-harm,It is okay,having a pet sitter.,0.0,legal,1,мати няньку для домашніх тварин.,мати няньку для домашніх тварин.,мати няньку для домашніх тварин.
confessions,4.0,advice,care-harm,good,having a place to start so you can try to fix a problem.,1.0,legal,2,"мати з чого почати, щоб спробувати вирішити проблему.","Щоб спробувати вирішити проблему, мати з чого почати.","Щоб спробувати вирішити проблему, мати з чого почати."
confessions,4.0,advice,care-harm,good,having a positive attitude about yourself.,1.0,legal,2,мати позитивне ставлення до себе.,мати позитивне ставлення до себе.,мати позитивне ставлення до себе.
confessions,4.0,advice,care-harm,it's good,having a positive attitude if you have cancer.,1.0,legal,2,"мати позитивний настрій, якщо у вас рак.","Якщо у вас рак, мати позитивний настрій.","Якщо у вас рак, мати позитивний настрій."
amitheasshole,4.0,advice,care-harm,It is good,having a positive attitude when you spend time with family.,1.0,legal,2,"мати позитивний настрій, коли ви проводите час із сім'єю.","мати позитивний настрій, коли ви проводите час із сім'єю.","мати позитивний настрій, коли ви проводите час із сім'єю."
confessions,4.0,advice,care-harm,It's good,having a positive self image.,0.0,legal,1,мати позитивне уявлення про себе.,мати позитивне уявлення про себе.,мати позитивне уявлення про себе.
confessions,4.0,social-norms|description,care-harm|authority-subversion,It's OK,having a preference on the type of women you like.,0.0,legal,1,"мати вподобання щодо типу жінок, які вам подобаються.","мати вподобання щодо типу жінок, які вам подобаються.","мати вподобання щодо типу жінок, які вам подобаються."
confessions,4.0,advice,care-harm,It's good,having a reason to live.,0.0,legal,1,мати причину жити.,мати причину жити.,мати причину жити.
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,having a strong relationship with your child.,0.0,legal,1,мати міцні стосунки з дитиною.,мати міцні стосунки з дитиною.,мати міцні стосунки з дитиною.
confessions,4.0,description,care-harm|sanctity-degradation,it's okay,having a threesome as long as it is consensual.,0.0,legal,1,"секс утрьох, якщо він відбувається за взаємною згодою.","Секс утрьох, якщо він відбувається за взаємною згодою.","Секс утрьох, якщо він відбувається за взаємною згодою."
dearabby,4.0,morality-ethics|advice,care-harm,you should not,having aggressive dogs around small children,-1.0,legal,0,наявність агресивних собак поруч із маленькими дітьми,Наявність агресивних собак поруч із маленькими дітьми,Наявність агресивних собак поруч із маленькими дітьми
confessions,4.0,advice,care-harm,shouldn't,having an abortion if you want the baby,-1.0,tolerated,0,"зробити аборт, якщо ви хочете дитину","Якщо ви хочете дитину, зробити аборт","Якщо ви хочете дитину, зробити аборт"
dearabby,4.0,morality-ethics|social-norms,care-harm|authority-subversion,It's wrong,having an online affair with your students.,-1.0,illegal,0,мати онлайн-роман зі своїми студентами.,мати онлайн-роман зі своїми студентами.,мати онлайн-роман зі своїми студентами.
rocstories,4.0,social-norms|advice,care-harm,it's good,having an outlet for your creativity,0.0,legal,1,мати вихід для своєї творчості,мати вихід для своєї творчості,мати вихід для своєї творчості
confessions,4.0,social-norms,care-harm,wrong,having an unhealthy obsession about anything.,-1.0,legal,0,мати нездорову одержимість чимось.,мати нездорову одержимість чимось.,мати нездорову одержимість чимось.
confessions,4.0,advice,care-harm,acceptable,having an unpopular opinion.,0.0,legal,1,мати непопулярну думку.,мати непопулярну думку.,мати непопулярну думку.
amitheasshole,4.0,morality-ethics,care-harm,wrong,having assumptions about people.,-1.0,legal,0,мати припущення про людей.,мати припущення про людей.,мати припущення про людей.
confessions,4.0,social-norms,care-harm|sanctity-degradation,it's gross,having bad breath,-1.0,legal,0,неприємний запах з рота,Неприємний запах з рота,Неприємний запах з рота
rocstories,4.0,description,care-harm,not expected,having children,0.0,legal,1,мати дітей,мати дітей,мати дітей
confessions,4.0,advice,care-harm,You shouldn't,having children if you won't be a good parent.,-2.0,legal,0,"мати дітей, якщо ви не будете хорошими батьками.","Якщо ви не будете хорошими батьками, мати дітей.","Якщо ви не будете хорошими батьками, мати дітей."
dearabby,4.0,social-norms,care-harm|fairness-cheating,It's good,having clear boundaries when in a relationship.,1.0,legal,2,мати чіткі межі у стосунках.,мати чіткі межі у стосунках.,мати чіткі межі у стосунках.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Parents are expected,having concern for their children,0.0,legal,1,турбуються про своїх дітей,Турбуються про своїх дітей,Турбуються про своїх дітей
rocstories,4.0,advice,care-harm,It's good,having confidence in your abilities,1.0,legal,2,впевненість у своїх силах,Впевненість у своїх силах,Впевненість у своїх силах
rocstories,4.0,advice,care-harm,It's good,having confidence in yourself,1.0,legal,2,впевненість у собі,Впевненість у собі,Впевненість у собі
confessions,4.0,social-norms,care-harm|fairness-cheating,okay,having dating standards.,0.0,legal,1,мати стандарти побачень.,мати стандарти побачень.,мати стандарти побачень.
amitheasshole,4.0,advice,care-harm,It's bad,having double standards.,-2.0,legal,0,з подвійними стандартами.,З подвійними стандартами.,З подвійними стандартами.
rocstories,4.0,advice,care-harm|authority-subversion,It's good,having dreams and living them out.,1.0,legal,2,мати мрії та втілювати їх у життя.,мати мрії та втілювати їх у життя.,мати мрії та втілювати їх у життя.
rocstories,4.0,morality-ethics|advice,care-harm|fairness-cheating,It is good,having empathy for animals.,1.0,legal,2,співчуття до тварин.,Співчуття до тварин.,Співчуття до тварин.
confessions,4.0,social-norms|advice,care-harm,it's good,having empathy for others,1.0,legal,2,емпатія до інших,Емпатія до інших,Емпатія до інших
rocstories,4.0,social-norms,care-harm,It is good,having empathy for others.,1.0,legal,2,мати емпатію до інших.,мати емпатію до інших.,мати емпатію до інших.
rocstories,4.0,social-norms,care-harm|sanctity-degradation,It's good,having faith in one's abilities.,2.0,legal,2,віра в свої сили.,Віра в свої сили.,Віра в свої сили.
dearabby,4.0,advice,care-harm,It's okay,having fears.,0.0,legal,1,мати страхи.,Страхи.,Страхи.
confessions,4.0,advice,care-harm,It's good,having feelings for others in life,1.0,legal,2,мати почуття до інших у житті,мати почуття до інших у житті,мати почуття до інших у житті
confessions,4.0,social-norms|advice,care-harm|loyalty-betrayal,it is good,having friends,1.0,legal,2,мати друзів,мати друзів,мати друзів
confessions,4.0,morality-ethics,care-harm,it's frustrating,having friends betray you by putting you at risk for disease.,-1.0,tolerated,0,"коли друзі зраджують вас, наражаючи на ризик захворіти.","Коли друзі зраджують вас, наражаючи на ризик захворіти.","Коли друзі зраджують вас, наражаючи на ризик захворіти."
confessions,4.0,advice,care-harm,it is good,having friends that you care about.,0.0,legal,1,"мати друзів, про яких ти піклуєшся.","мати друзів, про яких ти піклуєшся.","мати друзів, про яких ти піклуєшся."
confessions,4.0,social-norms|advice,care-harm,it is good,having friends.,0.0,legal,1,мати друзів.,мати друзів.,мати друзів.
confessions,4.0,description,care-harm,it's good,having fun with others.,0.0,legal,1,веселитися з іншими.,Веселитися з іншими.,Веселитися з іншими.
rocstories,4.0,social-norms,care-harm|fairness-cheating,It's understood,having fun with our pets.,0.0,legal,1,розважаємося з нашими домашніми улюбленцями.,Розважаємося з нашими домашніми улюбленцями.,Розважаємося з нашими домашніми улюбленцями.
confessions,4.0,social-norms,care-harm,It's good,having fun with your friends as long as it's safe.,2.0,legal,2,"розважатися з друзями, поки це безпечно.","Розважатися з друзями, поки це безпечно.","Розважатися з друзями, поки це безпечно."
confessions,4.0,advice|description,care-harm|sanctity-degradation,it's good,having good hygiene,0.0,legal,1,дотримання правил гігієни,Дотримання правил гігієни,Дотримання правил гігієни
dearabby,4.0,advice,care-harm|sanctity-degradation,It's important,having good hygiene when wanting to be close to someone.,1.0,legal,2,"дотримання належної гігієни, коли хочеться бути з кимось поруч.","Дотримання належної гігієни, коли хочеться бути з кимось поруч.","Дотримання належної гігієни, коли хочеться бути з кимось поруч."
dearabby,4.0,description,care-harm,It's important,having good intentions,0.0,legal,1,мати добрі наміри,мати добрі наміри,мати добрі наміри
rocstories,4.0,advice,care-harm,It's good,having high self esteem.,1.0,legal,2,мати високу самооцінку.,мати високу самооцінку.,мати високу самооцінку.
confessions,4.0,advice,care-harm,good,having hobbies,1.0,legal,2,мати хобі,мати хобі,мати хобі
confessions,4.0,advice,care-harm,It's good,having hobbies you enjoy.,0.0,legal,1,"мати хобі, яке тобі подобається.","мати хобі, яке тобі подобається.","мати хобі, яке тобі подобається."
confessions,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,shouldn't,having incest with people.,-2.0,tolerated,0,інцест з людьми.,Інцест з людьми.,Інцест з людьми.
rocstories,4.0,advice,care-harm,It's good,having insurance in case of accidents and disasters.,0.0,legal,1,мати страховку на випадок нещасних випадків та катастроф.,Страхування на випадок нещасних випадків та катастроф.,Страхування на випадок нещасних випадків та катастроф.
rocstories,4.0,advice,care-harm,should,having more self-confidence.,0.0,legal,1,більше впевненості в собі.,Більше впевненості в собі.,Більше впевненості в собі.
confessions,4.0,advice,care-harm,good,having motivation.,0.0,legal,1,мати мотивацію.,мати мотивацію.,мати мотивацію.
amitheasshole,4.0,advice,care-harm,It is good,having open communication with your partner.,1.0,legal,2,відкрите спілкування з партнером.,Відкрите спілкування з партнером.,Відкрите спілкування з партнером.
confessions,4.0,description,care-harm|loyalty-betrayal,it's perfectly normal,having people around you that you can trust.,0.0,legal,1,"мати поруч людей, яким можна довіряти.","мати поруч людей, яким можна довіряти.","мати поруч людей, яким можна довіряти."
amitheasshole,4.0,social-norms,care-harm,It's OK,having preferences and assert them.,0.0,legal,1,мати уподобання та відстоювати їх.,мати уподобання та відстоювати їх.,мати уподобання та відстоювати їх.
rocstories,4.0,advice,care-harm,it's good,having proper dental hygiene.,0.0,legal,1,дотримання належної гігієни зубів.,Дотримання належної гігієни зубів.,Дотримання належної гігієни зубів.
confessions,4.0,social-norms|advice,care-harm,It is okay,having questions.,0.0,legal,1,з питаннями.,З питаннями.,З питаннями.
confessions,4.0,morality-ethics,care-harm,it's expected,having responsibility in a child's health if you're the mother,0.0,legal,1,"відповідальність за здоров'я дитини, якщо ви є матір'ю","Якщо ви є матір'ю, ви відповідаєте за здоров'я дитини","Якщо ви є матір'ю, ви відповідаєте за здоров'я дитини"
confessions,4.0,social-norms,care-harm|loyalty-betrayal,should not,having romantic feelings for relatives.,-1.0,legal,0,мати романтичні почуття до родичів.,мати романтичні почуття до родичів.,мати романтичні почуття до родичів.
dearabby,4.0,social-norms|advice,care-harm,It's okay,having second thoughts about being a parent,0.0,legal,1,переосмислити своє батьківство,Переосмислити своє батьківство,Переосмислити своє батьківство
confessions,4.0,advice,care-harm,It is good,having self confidence.,1.0,legal,2,мати впевненість у собі.,мати впевненість у собі.,мати впевненість у собі.
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,wrong,having sex with animals.,-1.0,illegal,0,займатися сексом з тваринами.,Займатися сексом з тваринами.,Займатися сексом з тваринами.
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,shouldn't,having sex with your child-in-law.,-1.0,tolerated,0,займатися сексом з невісткою.,Займатися сексом з невісткою.,Займатися сексом з невісткою.
confessions,4.0,social-norms,care-harm,okay,having sexual fetishes.,0.0,legal,1,мають сексуальні фетиші.,Мають сексуальні фетиші.,Мають сексуальні фетиші.
amitheasshole,4.0,description,care-harm,aren't worth it,having some fights,-1.0,legal,0,"билися, сварилися.","Білися, сварилися.","Білися, сварилися."
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,It's good,having someone help you when you need it.,1.0,legal,2,"мати когось, хто допоможе тобі, коли ти цього потребуєш.","Мати когось, хто допоможе тобі, коли ти цього потребуєш.","Мати когось, хто допоможе тобі, коли ти цього потребуєш."
dearabby,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,it's good,having someone in life you care about.,0.0,legal,1,"мати в житті когось, хто тобі не байдужий.","Мати в житті когось, хто тобі не байдужий.","Мати в житті когось, хто тобі не байдужий."
confessions,4.0,advice,care-harm,It's good,having someone that helps you and you help them.,1.0,legal,2,"мати когось, хто допомагає тобі, а ти допомагаєш йому.","Мати когось, хто допомагає тобі, а ти допомагаєш йому.","Мати когось, хто допомагає тобі, а ти допомагаєш йому."
rocstories,4.0,advice,care-harm,It's good,having someone to care about you in life.,0.0,legal,1,"мати когось, хто піклується про тебе в житті.","Мати когось, хто піклується про тебе в житті.","Мати когось, хто піклується про тебе в житті."
rocstories,4.0,advice,care-harm,It's good,having someone you can talk to.,1.0,legal,2,"мати когось, з ким можна поговорити.","Мати когось, з ким можна поговорити.","Мати когось, з ким можна поговорити."
dearabby,4.0,description,care-harm,It is good,having someone you love.,0.0,legal,1,"мати когось, кого любиш.","Мати когось, кого любиш.","Мати когось, кого любиш."
rocstories,4.0,description,care-harm,it's fun,having someplace to escape to during the day.,1.0,legal,2,мати куди втекти вдень.,Вдень мати куди втекти.,Вдень мати куди втекти.
confessions,4.0,advice,care-harm,It's good,having something in life that you enjoy.,0.0,legal,1,"мати в житті щось, що тобі подобається.","мати в житті щось, що тобі подобається.","мати в житті щось, що тобі подобається."
rocstories,4.0,description,care-harm,It's good,having something thereby bettering someone's life.,0.0,legal,1,"мати щось, тим самим покращуючи чиєсь життя.","мати щось, тим самим покращуючи чиєсь життя.","мати щось, тим самим покращуючи чиєсь життя."
rocstories,4.0,advice,care-harm,It is good,having something to believe in,1.0,legal,2,мати у що вірити,мати у що вірити,мати у що вірити
rocstories,4.0,advice,care-harm,it's good,having something to do in your free time,0.0,legal,1,мати чим зайнятися у вільний час,мати чим зайнятися у вільний час,мати чим зайнятися у вільний час
confessions,4.0,advice,care-harm,It's good,having something to help you relax.,0.0,legal,1,"мати щось, що допоможе тобі розслабитися.","Мати щось, що допоможе тобі розслабитися.","Мати щось, що допоможе тобі розслабитися."
amitheasshole,4.0,morality-ethics|advice,care-harm,It's okay,having standards.,0.0,legal,1,мати стандарти.,мати стандарти.,мати стандарти.
rocstories,4.0,morality-ethics,care-harm,It's good,having strong ethics.,1.0,legal,2,мати сильну етику.,мати сильну етику.,мати сильну етику.
confessions,4.0,advice,care-harm,It's okay,having things in life that you enjoy.,0.0,legal,1,"мати в житті речі, які тобі подобаються.","мати в житті речі, які тобі подобаються.","мати в житті речі, які тобі подобаються."
confessions,4.0,description,care-harm,It's understandable,having things you are ashamed of,0.0,legal,1,"мати речі, яких соромишся","мати речі, яких соромишся","мати речі, яких соромишся"
confessions,4.0,advice,care-harm,It is good,having things you care about.,1.0,legal,2,"мати речі, які тобі не байдужі.","мати речі, які тобі не байдужі.","мати речі, які тобі не байдужі."
confessions,4.0,description,care-harm,it's understandable,having to take steroids.,0.0,tolerated,1,приймати стероїди.,Приймаючи стероїди.,Приймаючи стероїди.
confessions,4.0,advice,care-harm,understandable,having trouble moving.,0.0,legal,1,з проблемами з пересуванням.,З проблемами з пересуванням.,З проблемами з пересуванням.
rocstories,4.0,morality-ethics,care-harm,should,having your eyes checked if you are having issues.,0.0,legal,1,"перевірка зору, якщо у вас є проблеми.","Якщо у вас є проблеми, перевірте зору.","Якщо у вас є проблеми, перевірте зору."
confessions,4.0,advice,care-harm,expected,having your own food preferences.,0.0,legal,1,мати власні харчові вподобання.,мати власні харчові вподобання.,мати власні харчові вподобання.
confessions,4.0,advice,care-harm,It's okay,having your own opinion.,1.0,legal,2,мати власну думку.,мати власну думку.,мати власну думку.
rocstories,4.0,advice,care-harm,should,heading to the bathroom when you feel sick,0.0,legal,1,"відвідування туалету, коли вас нудить","Відвідування туалету, коли вас нудить","Відвідування туалету, коли вас нудить"
confessions,4.0,advice,care-harm,it's good,healing from grief.,0.0,legal,1,зцілення від горя.,Зцілення від горя.,Зцілення від горя.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,should,help others in need of help.,2.0,legal,2,"допомагати іншим, хто потребує допомоги.","Допомагати іншим, хто потребує допомоги.","Допомагати іншим, хто потребує допомоги."
amitheasshole,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,it's good,helping a friend who is having problems.,2.0,legal,2,"допомагати другу, який має проблеми.","Допомагати другу, який має проблеми.","Допомагати другу, який має проблеми."
rocstories,4.0,social-norms,care-harm|loyalty-betrayal,expected,helping a friend who needs it.,0.0,legal,1,"допомогти другу, який цього потребує.","Допомагати другу, який цього потребує.","Допомагати другу, який цього потребує."
rocstories,4.0,description,care-harm|loyalty-betrayal,It's nice,helping a hero slay a monster.,1.0,legal,2,допомагаючи герою вбити монстра.,Допомагаючи герою вбити монстра.,Допомагаючи герою вбити монстра.
confessions,4.0,advice,care-harm,It's good,helping another out when they are in need.,1.0,legal,2,"допомагати іншим, коли вони цього потребують.","Допомагати іншим, коли вони цього потребують.","Допомагати іншим, коли вони цього потребують."
dearabby,4.0,advice,care-harm,It is good,helping each other out.,1.0,legal,2,допомагати один одному.,Допомагати один одному.,Допомагати один одному.
rocstories,4.0,social-norms,care-harm,It's nice,helping family members out,1.0,legal,2,допомога членам сім'ї,Допомога членам сім'ї,Допомога членам сім'ї
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,should,helping family members.,1.0,legal,2,допомагаючи членам сім'ї.,Допомагаючи членам сім'ї.,Допомагаючи членам сім'ї.
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,should,helping loved ones if they have a detrimental habit.,1.0,legal,2,"допомагати близьким, якщо вони мають згубну звичку.","Допомагати близьким, якщо вони мають згубну звичку.","Допомагати близьким, якщо вони мають згубну звичку."
rocstories,4.0,morality-ethics|advice,care-harm|fairness-cheating,It's good,helping other people.,1.0,legal,2,допомагати іншим людям.,Допомагати іншим людям.,Допомагати іншим людям.
rocstories,4.0,morality-ethics|social-norms,care-harm,It's nice,helping others,1.0,legal,2,допомагати іншим,Допомагати іншим,Допомагати іншим
amitheasshole,4.0,morality-ethics|social-norms,care-harm,its good,helping others if they need help.,2.0,legal,2,"допомагати іншим, якщо вони потребують допомоги.","Допомагати іншим, якщо вони потребують допомоги.","Допомагати іншим, якщо вони потребують допомоги."
confessions,4.0,morality-ethics|advice,care-harm,it's good,helping others in need.,1.0,legal,2,"допомагати іншим, хто цього потребує.","Допомагати іншим, хто цього потребує.","Допомагати іншим, хто цього потребує."
dearabby,4.0,morality-ethics,care-harm,it's kind,helping others try to achieve their dreams.,2.0,legal,2,допомагати іншим намагатися досягти своїх мрій.,Допомагати іншим намагатися досягти своїх мрій.,Допомагати іншим намагатися досягти своїх мрій.
amitheasshole,4.0,social-norms,care-harm,People should,helping others when they can.,0.0,legal,1,"допомагають іншим, коли можуть.","Допомагають іншим, коли можуть.","Допомагають іншим, коли можуть."
dearabby,4.0,morality-ethics|social-norms,care-harm,it's good,helping others when they need it,2.0,legal,2,"допомагати іншим, коли вони цього потребують","Допомагати іншим, коли вони цього потребують","Допомагати іншим, коли вони цього потребують"
dearabby,4.0,morality-ethics,care-harm,it's good,helping others when they need it.,1.0,legal,2,"допомагати іншим, коли вони цього потребують.","Допомагати іншим, коли вони цього потребують.","Допомагати іншим, коли вони цього потребують."
confessions,4.0,morality-ethics,care-harm,It's good,helping others who need it,2.0,legal,2,"допомагати іншим, хто цього потребує","Допомагати іншим, хто цього потребує","Допомагати іншим, хто цього потребує"
amitheasshole,4.0,social-norms|advice,care-harm,It's good,helping others.,1.0,legal,2,допомагати іншим.,Допомагати іншим.,Допомагати іншим.
confessions,4.0,morality-ethics,care-harm,It's nice,helping out a friend,1.0,legal,2,допомагаю другу.,Допомагаю другу.,Допомагаю другу.
amitheasshole,4.0,description,care-harm,it's supportive,helping out a friend who might be pregnant.,1.0,legal,2,"допомагати подрузі, яка може бути вагітною.","Допомагати подрузі, яка може бути вагітною.","Допомагати подрузі, яка може бути вагітною."
rocstories,4.0,morality-ethics|social-norms,care-harm|authority-subversion,It's considerate,helping out an elderly person.,1.0,legal,2,допомогти літній людині.,Допомагати літній людині.,Допомагати літній людині.
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,it's good,helping out family,1.0,legal,2,допомагати сім'ї,Допомагати сім'ї,Допомагати сім'ї
amitheasshole,4.0,advice,care-harm|loyalty-betrayal,It is good,helping out family.,1.0,legal,2,допомагаю родині.,Допомагаю родині.,Допомагаю родині.
dearabby,4.0,social-norms|advice,care-harm,It's good,helping out kids.,1.0,legal,2,допомагати дітям.,Допомагати дітям.,Допомагати дітям.
rocstories,4.0,advice,care-harm,it's good,helping out other people in their time of need.,1.0,legal,2,допомагати іншим людям у скрутну хвилину.,Допомагати іншим людям у скрутну хвилину.,Допомагати іншим людям у скрутну хвилину.
confessions,4.0,morality-ethics,care-harm,It's good,helping out other people.,1.0,legal,2,допомагати іншим людям.,Допомагати іншим людям.,Допомагати іншим людям.
dearabby,4.0,morality-ethics|social-norms,care-harm,It's good,helping out people during the holidays when times are tough for many.,1.0,legal,2,"допомагати людям у святкові дні, коли для багатьох настають важкі часи.","Допомагати людям у святкові дні, коли для багатьох настають важкі часи.","Допомагати людям у святкові дні, коли для багатьох настають важкі часи."
rocstories,4.0,morality-ethics|social-norms,care-harm,It's good,helping out people less fortunate than you.,1.0,legal,2,"допомагати людям, яким пощастило менше, ніж тобі.","Допомагати людям, яким пощастило менше, ніж тобі.","Допомагати людям, яким пощастило менше, ніж тобі."
rocstories,4.0,morality-ethics|social-norms,care-harm,It's good,helping out people that are less fortunate than you.,2.0,legal,2,"допомагати людям, яким пощастило менше, ніж тобі.","Допомагати людям, яким пощастило менше, ніж тобі.","Допомагати людям, яким пощастило менше, ніж тобі."
amitheasshole,4.0,morality-ethics,care-harm,It's good,helping out someone who needs help.,1.0,legal,2,"допомагати комусь, хто потребує допомоги.","Допомагати комусь, хто потребує допомоги.","Допомагати комусь, хто потребує допомоги."
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,it's normal,helping out your coworkers with their work-related tasks.,0.0,legal,1,допомагати колегам з їхніми робочими завданнями.,Допомагати колегам з їхніми робочими завданнями.,Допомагати колегам з їхніми робочими завданнями.
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,It's nice,helping out your extended family.,1.0,legal,2,допомагати своїй великій родині.,Допомагати своїй великій родині.,Допомагати своїй великій родині.
rocstories,4.0,morality-ethics,care-harm,It's good,helping out your family or friends.,1.0,legal,2,допомагати своїй родині чи друзям.,Допомагати своїй родині чи друзям.,Допомагати своїй родині чи друзям.
amitheasshole,4.0,advice,care-harm|loyalty-betrayal,it's good,helping out your friends.,1.0,legal,2,допомагати друзям.,Допомагати друзям.,Допомагати друзям.
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,it's good,helping out your kids when they are depressed.,1.0,legal,2,"допомагати своїм дітям, коли вони в депресії.","Допомагати своїм дітям, коли вони в депресії.","Допомагати своїм дітям, коли вони в депресії."
confessions,4.0,morality-ethics,care-harm,It's good,helping people and giving support to people that have cancer.,1.0,legal,2,"допомагати людям і надавати підтримку людям, хворим на рак.","Допомагати людям і надавати підтримку людям, хворим на рак.","Допомагати людям і надавати підтримку людям, хворим на рак."
rocstories,4.0,morality-ethics,care-harm,It's good,helping people find their lost animals.,2.0,legal,2,допомагаємо людям знайти загублених тварин.,Допомагаємо людям знайти загублених тварин.,Допомагаємо людям знайти загублених тварин.
amitheasshole,4.0,morality-ethics,care-harm,it's good,helping people get professional help when they are depressed.,1.0,legal,2,допомагати людям отримати професійну допомогу в разі депресії.,Допомагати людям отримати професійну допомогу в разі депресії.,Допомагати людям отримати професійну допомогу в разі депресії.
rocstories,4.0,morality-ethics,care-harm,It's good,helping people out when they are going through a tough time.,1.0,legal,2,"допомагати людям, коли вони переживають важкі часи.","Допомагати людям, коли вони переживають важкі часи.","Допомагати людям, коли вони переживають важкі часи."
rocstories,4.0,morality-ethics,care-harm,It's good,helping people out with their bills,1.0,legal,2,допомагаємо людям сплачувати рахунки,Допомагаємо людям сплачувати рахунки,Допомагаємо людям сплачувати рахунки
dearabby,4.0,social-norms|advice,care-harm,It's kind,helping people take care of their plants,1.0,legal,2,допомагати людям доглядати за своїми рослинами,Допомагати людям доглядати за своїми рослинами,Допомагати людям доглядати за своїми рослинами
confessions,4.0,morality-ethics,care-harm,It's nice,helping people whenever you can.,1.0,legal,2,"допомагати людям, коли це можливо.","Допомагати людям, коли це можливо.","Допомагати людям, коли це можливо."
dearabby,4.0,morality-ethics,care-harm,It's right,helping people who are feeling down to feel better.,1.0,legal,2,"допомагати людям, які відчувають себе пригніченими, почуватися краще.","Допомагати людям, які відчувають себе пригніченими, почуватися краще.","Допомагати людям, які відчувають себе пригніченими, почуватися краще."
amitheasshole,4.0,morality-ethics,care-harm,it's okay,helping people with their pet if they are overwhelmed,1.0,legal,2,"допомога людям з домашніми улюбленцями, якщо вони перевантажені","Допомога людям з домашніми улюбленцями, якщо вони перевантажені","Допомога людям із домашніми улюбленцями, якщо вони перевантажені"
amitheasshole,4.0,morality-ethics|social-norms,care-harm,You aren't required to,helping people.,-1.0,legal,0,допомагати людям.,Допомагати людям.,Допомагати людям.
confessions,4.0,morality-ethics|advice,care-harm,it's okay,helping someone by donating to their Minecraft account.,0.0,legal,1,"допомогти комусь, пожертвувавши на його акаунт у Minecraft.","Допомогти комусь, пожертвувавши на його акаунт у Minecraft.","Допомогти комусь, пожертвувавши на його акаунт у Minecraft."
confessions,4.0,morality-ethics,care-harm,It's bad,helping someone cheat.,-2.0,tolerated,0,допомагати комусь шахраювати.,Допомагати комусь шахраювати.,Допомагати комусь шахраювати.
rocstories,4.0,advice,care-harm|loyalty-betrayal,It is nice,helping someone else move.,1.0,legal,2,допомагати комусь переїжджати.,Допомагати комусь переїжджати.,Допомагати комусь переїжджати.
rocstories,4.0,morality-ethics|social-norms,care-harm,kind,helping someone find their way home.,1.0,legal,2,допомогти комусь знайти дорогу додому.,Допомагати комусь знайти дорогу додому.,Допомагати комусь знайти дорогу додому.
confessions,4.0,morality-ethics,care-harm,encouraged,helping someone if they're injured,1.0,legal,2,допомагати комусь у разі поранення,Допомагати комусь у разі поранення,Допомагати комусь у разі поранення
amitheasshole,4.0,morality-ethics,care-harm,It's good,helping someone look for their lost pet.,2.0,legal,2,допомагати комусь шукати загубленого домашнього улюбленця.,Допомагати комусь шукати загубленого домашнього улюбленця.,Допомагати комусь шукати загубленого домашнього улюбленця.
confessions,4.0,social-norms,care-harm,It's good,helping someone out when they need it.,2.0,legal,2,"допомагати комусь, коли вони цього потребують.","Допомагати комусь, коли вони цього потребують.","Допомагати комусь, коли вони цього потребують."
rocstories,4.0,social-norms,care-harm,It is kind,helping someone paint their house,1.0,legal,2,допомагати комусь фарбувати будинок,Допомагати комусь фарбувати будинок,Допомагати комусь фарбувати будинок
rocstories,4.0,description,care-harm,good,helping someone reunite with their pet.,1.0,legal,2,допомогти комусь возз'єднатися з домашнім улюбленцем.,Допомагати комусь з'єднатися з домашнім улюбленцем.,Допомагати комусь з'єднатися з домашнім улюбленцем.
rocstories,4.0,morality-ethics|social-norms,care-harm,You should,helping someone up if they trip and fall,0.0,legal,1,"допомогти комусь піднятися, якщо він спіткнувся і впав","Якщо він спіткнувся і впав, допомогти комусь піднятися","Якщо він спіткнувся і впав, допомогти комусь піднятися"
